# Export texte de la base — tables par modèle
Généré: 2025-08-14 17:22:02
Fichier source: /Users/HouDa/PycharmProjects/ParcInfo/export_all_tables.json

## Résumé
• Modèles: 20
• Enregistrements: 2089
• Répartition par modèle:
  - auth.group: 4
  - chatbot.chatbotinteraction: 1470
  - chatbot.chatmessage: 14
  - chatbot.documentvector: 307
  - chatbot.intentexample: 3
  - commande_bureau.commandebureau: 1
  - commande_bureau.descriptionbureau: 96
  - commande_bureau.designationbureau: 26
  - commande_bureau.lignecommandebureau: 1
  - commande_informatique.commande: 2
  - commande_informatique.description: 64
  - commande_informatique.designation: 28
  - commande_informatique.lignecommande: 3
  - demande_equipement.archivedecharge: 5
  - demande_equipement.demandeequipement: 10
  - fournisseurs.fournisseur: 42
  - livraison.livraison: 3
  - materiel_bureautique.materielbureau: 1
  - materiel_informatique.materielinformatique: 5
  - users.customuser: 4

## Détails par modèle

Model: auth.group  (rows: 4)
|--|-------------------------|------------------------------------------------------------|
|pk|name                     |permissions                                                 |
|--|-------------------------|------------------------------------------------------------|
|1 |Super Admin              |[1, 2, 3, 4, 9, 10, 11, 12, 5, 6, 7, 8, 53, 54, 55, 56, 57,…|
|2 |Gestionnaire Informatique|[]                                                          |
|3 |Gestionnaire Bureau      |[]                                                          |
|4 |Employe                  |[]                                                          |
|--|-------------------------|------------------------------------------------------------|

Model: chatbot.chatbotinteraction  (rows: 1470)
|----|--------------------------|------------------------------------------------------------|-----------|---------------------|-------------|-----------|------------------------|------------------------------------------------------------|
|505 |auto_detected             |• Nous n'avons pas de code inventaire inexistant 'FAKE123'.…|1          |default              |False        |0          |2025-08-10T14:47:18.280Z|Cherche un code inventaire inexistant comme 'FAKE123', et s…|
|506 |auto_detected             |Nous avons les suivants :\n• Super Admin : super admin\n• G…|1          |default              |False        |0          |2025-08-10T14:47:23.670Z|À qui affecter un matériel bureautique non existant, en lis…|
|507 |auto_detected             |**Statut des livraisons:**\n- Livraison 123 (Commande: 123)…|1          |default              |False        |0          |2025-08-10T14:47:27.660Z|Compare les statuts des livraisons pour les commandes avec …|
|508 |auto_detected             |• Nous avons 2 demandes : \n	+ Demandes #14 et #15 (catégor…|1          |default              |False        |0          |2025-08-10T14:47:37.502Z|Liste tous les intents exemples disponibles, et trouve ceux…|
|509 |auto_detected             |**Demandes d'équipement:**\n- Demande #23 (02/08/2025)\n  D…|1          |default              |False        |0          |2025-08-10T14:47:40.589Z|Pour les demandes d'équipement approuvées en juillet 2025, …|
|510 |auto_detected             |• Fournisseur: BROME CONSULTING & TECHNOLOGY\n	+ Montant to…|1          |default              |False        |0          |2025-08-10T14:47:50.150Z|Génère un rapport : Top 3 fournisseurs par montant total de…|
|511 |auto_detected             |• Nous avons un seul matériel avec le code ADD/INFO/01000 :…|1          |default              |False        |0          |2025-08-10T14:51:15.302Z|Quel est le matériel avec le code ADD/INFO/01000 ?          |
|512 |auto_detected             |**Statut des livraisons:**\n- Livraison AOO2025 (Commande: …|1          |default              |False        |0          |2025-08-10T14:51:23.288Z|Quel est le statut de la livraison AOO2025 ?                |
|513 |auto_detected             |**Liste des fournisseurs:**\n- 218 LABS SARL (ICE: 00143444…|1          |default              |False        |0          |2025-08-10T14:51:39.533Z|Liste tous les fournisseurs                                 |
|514 |auto_detected             |Votre demande semble concerner 'help' mais je ne suis pas s…|1          |default              |False        |0          |2025-08-10T15:35:02.249Z|Quel est le matériel informatique avec le code inventaire c…|
|515 |auto_detected             |**Filtres appliqués:** Statut: stock, Lieu: bureau tiques, …|1          |default              |False        |0          |2025-08-10T15:35:20.899Z|Liste tous les matériels bureautiques non opérationnels ou …|
|516 |auto_detected             |Votre demande semble concerner 'help' mais je ne suis pas s…|1          |default              |False        |0          |2025-08-10T15:35:31.247Z|Trouve les codes inventaire de baies ou armoires qui n'ont …|
|517 |auto_detected             |Je n'ai pas bien compris votre demande.\n\n**Suggestions ba…|1          |default              |False        |0          |2025-08-10T15:35:40.744Z|Quel matériel informatique a le plus haut montant unitaire …|
|518 |auto_detected             |Votre demande semble concerner 'help' mais je ne suis pas s…|1          |default              |False        |0          |2025-08-10T15:35:49.171Z|Calcule le montant total HT de toutes les commandes informa…|
|519 |auto_detected             |Votre demande semble concerner 'help' mais je ne suis pas s…|1          |default              |False        |0          |2025-08-10T15:36:02.053Z|Combien de matériels informatiques sont affectés à chaque u…|
|520 |auto_detected             |Votre demande semble concerner 'help' mais je ne suis pas s…|1          |default              |False        |0          |2025-08-10T15:36:07.967Z|Quelle est la moyenne des garanties (en mois) pour les comm…|
|521 |auto_detected             |**Erreur de validation des données**\n\nUne erreur s'est pr…|1          |default              |False        |0          |2025-08-10T15:36:13.350Z|Statistiques globales : Nombre total de demandes d'équipeme…|
|522 |auto_detected             |Votre demande semble concerner 'help' mais je ne suis pas s…|1          |default              |False        |0          |2025-08-10T15:36:21.772Z|Liste les livraisons retardées de plus de 7 jours par rappo…|
|523 |auto_detected             |Je n'ai pas bien compris votre demande.\n\n**Suggestions ba…|1          |default              |False        |0          |2025-08-10T15:36:26.334Z|Quelles commandes ont des livraisons prévues dans les 15 pr…|
|524 |auto_detected             |Votre demande semble concerner 'help' mais je ne suis pas s…|1          |default              |False        |0          |2025-08-10T15:36:34.776Z|Génère un rapport : Top 3 fournisseurs par montant total de…|
|525 |auto_detected             |**Demandes d'équipement:**\n• Demande #23 (02/08/2025)\nDem…|1          |default              |False        |0          |2025-08-10T15:36:42.486Z|Pour les demandes d'équipement approuvées en juillet 2025, …|
|526 |auto_detected             |**Filtres appliqués:** Statut: stock, Utilisateur: affecté\…|1          |default              |False        |0          |2025-08-10T15:36:46.476Z|Liste tous les intents exemples disponibles, et trouve ceux…|
|527 |auto_detected             |**Statut des livraisons:**\n• Livraison 123 (Commande: 123)…|1          |default              |False        |0          |2025-08-10T15:36:51.680Z|Compare les statuts des livraisons pour les commandes avec …|
|528 |auto_detected             |**Filtres appliqués:** Statut: stock, Lieu: bureau tique, U…|1          |default              |False        |0          |2025-08-10T15:36:56.906Z|À qui affecter un matériel bureautique non existant, en lis…|
|529 |auto_detected             |Je n'ai pas bien compris votre demande.\n\n**Suggestions ba…|1          |default              |False        |0          |2025-08-10T15:37:03.425Z|Cherche un code inventaire inexistant comme 'FAKE123', et s…|
|530 |auto_detected             |Votre demande semble concerner 'help' mais je ne suis pas s…|1          |default              |False        |0          |2025-08-10T15:37:08.539Z|Quel fournisseur a le plus de spécialités différentes, et q…|
|531 |auto_detected             |Votre demande semble concerner 'help' mais je ne suis pas s…|1          |default              |False        |0          |2025-08-10T15:37:14.792Z|Liste les utilisateurs qui ont plus d'un matériel affecté, …|
|532 |auto_detected             |Votre demande semble concerner 'liste_fournisseurs' mais je…|1          |default              |False        |0          |2025-08-10T15:44:27.717Z|Quel est le matériel informatique avec le code inventaire c…|
|533 |auto_detected             |**Filtres appliqués:** Statut: stock, Lieu: bureau tiques, …|1          |default              |False        |0          |2025-08-10T15:44:40.901Z|Liste tous les matériels bureautiques non opérationnels ou …|
|534 |auto_detected             |• Nous avons 1 matériel informatique non livré : ADD/INFO/0…|1          |default              |False        |0          |2025-08-10T15:44:57.460Z|Trouve les codes inventaire de baies ou armoires qui n'ont …|
|535 |auto_detected             |• Nous avons 3 matériels informatiques livrés en retard : c…|1          |default              |False        |0          |2025-08-10T15:45:08.057Z|Quel matériel informatique a le plus haut montant unitaire …|
|536 |auto_detected             |**Liste des fournisseurs:**\n• 218 LABS SARL (ICE: 00143444…|1          |default              |False        |0          |2025-08-10T15:45:16.883Z|Calcule le montant total HT de toutes les commandes informa…|
|537 |auto_detected             |Votre demande semble concerner 'statistiques' mais je ne su…|1          |default              |False        |0          |2025-08-10T15:45:29.457Z|Combien de matériels informatiques sont affectés à chaque u…|
|538 |auto_detected             |Votre demande semble concerner 'liste_fournisseurs' mais je…|1          |default              |False        |0          |2025-08-10T15:45:39.976Z|Quelle est la moyenne des garanties (en mois) pour les comm…|
|539 |auto_detected             |**Erreur de validation des données**\n\nUne erreur s'est pr…|1          |default              |False        |0          |2025-08-10T15:45:48.274Z|Statistiques globales : Nombre total de demandes d'équipeme…|
|540 |auto_detected             |**Liste des fournisseurs:**\n• CASANET (ICE: 00008474200000…|1          |default              |False        |0          |2025-08-10T15:45:54.476Z|Liste les livraisons retardées de plus de 7 jours par rappo…|
|541 |auto_detected             |Votre demande semble concerner 'statut_livraison' mais je n…|1          |default              |False        |0          |2025-08-10T15:45:59.308Z|Quelles commandes ont des livraisons prévues dans les 15 pr…|
|542 |auto_detected             |• Livraison effective avant 01/08/2025 : AOO2025\n• Command…|1          |default              |False        |0          |2025-08-10T15:46:09.236Z|Trouve les livraisons effectives avant le 01/08/2025 qui co…|
|543 |auto_detected             |Votre demande semble concerner 'liste_fournisseurs' mais je…|1          |default              |False        |0          |2025-08-10T15:46:12.772Z|Quels fournisseurs ont fourni plus de 2 commandes informati…|
|544 |auto_detected             |• Nous n'avons pas trouvé d'utilisateur avec plus d'un maté…|1          |default              |False        |0          |2025-08-10T15:46:19.885Z|Liste les utilisateurs qui ont plus d'un matériel affecté, …|
|545 |auto_detected             |Votre demande semble concerner 'liste_fournisseurs' mais je…|1          |default              |False        |0          |2025-08-10T15:46:22.874Z|Quel fournisseur a le plus de spécialités différentes, et q…|
|546 |auto_detected             |Votre demande semble concerner 'recherche_materiel' mais je…|1          |default              |False        |0          |2025-08-10T15:46:29.416Z|Cherche un code inventaire inexistant comme 'FAKE123', et s…|
|547 |auto_detected             |• Super admin : super admin\n• Gestionnaire bureau : gestio…|1          |default              |False        |0          |2025-08-10T15:46:38.203Z|À qui affecter un matériel bureautique non existant, en lis…|
|548 |auto_detected             |• Aucun intent exemple disponible dans les données actuelle…|1          |default              |False        |0          |2025-08-10T15:46:44.562Z|Liste tous les intents exemples disponibles, et trouve ceux…|
|549 |auto_detected             |**Demandes d'équipement:**\n• Demande #23 (02/08/2025)\nDem…|1          |default              |False        |0          |2025-08-10T15:46:58.140Z|Pour les demandes d'équipement approuvées en juillet 2025, …|
|550 |auto_detected             |**Liste des fournisseurs:**\n• 218 LABS SARL (ICE: 00143444…|1          |default              |False        |0          |2025-08-10T15:47:04.518Z|Génère un rapport : Top 3 fournisseurs par montant total de…|
|551 |auto_detected             |Veuillez spécifier un code inventaire, un numéro de série, …|1          |default              |False        |0          |2025-08-10T16:08:03.195Z|Quel est le matériel informatique avec le code inventaire c…|
|552 |auto_detected             |**Filtres appliqués:** Statut: stock, Lieu: bureau tiques, …|1          |default              |False        |0          |2025-08-10T16:08:17.958Z|Liste tous les matériels bureautiques non opérationnels ou …|
|553 |auto_detected             |**Critères de recherche:** Désignation: baie\n**Matériel in…|1          |default              |False        |0          |2025-08-10T16:08:31.989Z|Trouve les codes inventaire de baies ou armoires qui n'ont …|
|554 |auto_detected             |Veuillez spécifier un code inventaire, un numéro de série, …|1          |default              |False        |0          |2025-08-10T16:08:59.181Z|Quel matériel informatique a le plus haut montant unitaire …|
|555 |auto_detected             |**Liste des fournisseurs:**\n• 218 LABS SARL (ICE: 00143444…|1          |default              |False        |0          |2025-08-10T16:09:04.828Z|Calcule le montant total HT de toutes les commandes informa…|
|556 |auto_detected             |**Statistiques du parc:**\n• Matériel informatique: 5 (Serv…|1          |default              |False        |0          |2025-08-10T16:09:23.078Z|Combien de matériels informatiques sont affectés à chaque u…|
|557 |auto_detected             |Votre demande semble concerner 'liste_fournisseurs' mais je…|1          |default              |False        |0          |2025-08-10T16:09:30.095Z|Quelle est la moyenne des garanties (en mois) pour les comm…|
|558 |auto_detected             |**Statistiques du parc:**\n• Matériel informatique: 5 (Serv…|1          |default              |False        |0          |2025-08-10T16:09:35.199Z|Statistiques globales : Nombre total de demandes d'équipeme…|
|559 |auto_detected             |**Statut des livraisons:**\nAucune livraison trouvée avec c…|1          |default              |False        |0          |2025-08-10T16:09:41.233Z|Liste les livraisons retardées de plus de 7 jours par rappo…|
|560 |auto_detected             |**Statut des livraisons:**\n• Livraison AOO2025 (Commande: …|1          |default              |False        |0          |2025-08-10T16:09:49.571Z|Quelles commandes ont des livraisons prévues dans les 15 pr…|
|561 |auto_detected             |**Statut des livraisons:**\n• Livraison AOO2025 (Commande: …|1          |default              |False        |0          |2025-08-10T16:09:54.234Z|Trouve les livraisons effectives avant le 01/08/2025 qui co…|
|562 |auto_detected             |**Statut des livraisons:**\nAucune commande trouvée avec le…|1          |default              |False        |0          |2025-08-10T16:09:58.578Z|Quels fournisseurs ont fourni plus de 2 commandes informati…|
|563 |auto_detected             |Veuillez spécifier un code inventaire, un numéro de série, …|1          |default              |False        |0          |2025-08-10T16:10:03.292Z|Liste les utilisateurs qui ont plus d'un matériel affecté, …|
|564 |auto_detected             |**Statut des livraisons:**\nAucune livraison trouvée avec c…|1          |default              |False        |0          |2025-08-10T16:10:08.862Z|Quel fournisseur a le plus de spécialités différentes, et q…|
|565 |auto_detected             |**Critères de recherche:** Désignation: baie\n**Matériel in…|1          |default              |False        |0          |2025-08-10T16:10:14.672Z|Cherche un code inventaire inexistant comme 'FAKE123', et s…|
|566 |auto_detected             |Veuillez spécifier un code inventaire, un numéro de série, …|1          |default              |False        |0          |2025-08-10T16:10:20.236Z|À qui affecter un matériel bureautique non existant, en lis…|
|567 |auto_detected             |**Statut des livraisons:**\n• Livraison 123 (Commande: 123)…|1          |default              |False        |0          |2025-08-10T16:10:33.483Z|Compare les statuts des livraisons pour les commandes avec …|
|568 |auto_detected             |• Nous avons un fournisseur qui a fourni plus d'un matériel…|1          |default              |False        |0          |2025-08-10T16:10:52.093Z|Identifie les fournisseurs qui ont fourni plus d'un matérie…|
|569 |auto_detected             |**Statistiques du parc:**\n• Matériel informatique: 5 (Serv…|1          |default              |False        |0          |2025-08-10T16:11:17.646Z|Calcule le nombre total de matériels bureautiques et inform…|
|570 |auto_detected             |• Aucune information disponible dans les logs administratif…|1          |default              |False        |0          |2025-08-10T16:11:28.003Z|Quels permissions ont été ajoutées ou modifiées pour le gro…|
|571 |auto_detected             |Veuillez spécifier un code inventaire, un numéro de série, …|1          |default              |False        |0          |2025-08-10T16:11:31.454Z|Analyse les interactions du chatbot où le nombre de résulta…|
|572 |auto_detected             |**Demandes d'équipement:**\n• Demande #23 (02/08/2025)\nDem…|1          |default              |False        |0          |2025-08-10T16:11:37.696Z|Trouve les demandes d'équipement en statut 'en attente' pou…|
|573 |auto_detected             |Votre demande semble concerner 'liste_fournisseurs' mais je…|1          |default              |False        |0          |2025-08-10T16:11:50.078Z|Quelle est la valeur totale des commandes bureau (en inclua…|
|574 |auto_detected             |**Statut des livraisons:**\n• Livraison AOO2025 (Commande: …|1          |default              |False        |0          |2025-08-10T16:11:57.125Z|Liste tous les utilisateurs appartenant au groupe 'Gestionn…|
|575 |auto_detected             |Veuillez spécifier un code inventaire, un numéro de série, …|1          |default              |False        |0          |2025-08-10T16:12:03.330Z|Quels sont les matériels informatiques affectés à l'utilisa…|
|576 |auto_detected             |**Statut des livraisons:**\n• Livraison AOO2025 (Commande: …|1          |default              |False        |0          |2025-08-10T16:12:11.010Z|Regroupe les changements dans les logs admin liés aux group…|
|577 |auto_detected             |{'response': "Une erreur s'est produite lors du traitement …|1          |default              |False        |0          |2025-08-10T16:24:44.406Z|Quel est le matériel informatique avec le code inventaire c…|
|578 |auto_detected             |{'response': "Une erreur s'est produite lors du traitement …|1          |default              |False        |0          |2025-08-10T16:24:48.914Z|Quels utilisateurs ayant effectué une interaction avec le c…|
|579 |auto_detected             |{'response': "**Critères de recherche:** Code commençant pa…|1          |default              |False        |0          |2025-08-10T16:26:19.398Z|Quel est le matériel informatique avec le code inventaire c…|
|580 |auto_detected             |{'response': "**Critères de recherche:** Code commençant pa…|1          |default              |False        |0          |2025-08-10T16:26:42.295Z|Quel est le matériel informatique avec le code inventaire c…|
|581 |auto_detected             |{'response': "**Critères de recherche:** Code commençant pa…|1          |default              |False        |0          |2025-08-10T16:27:26.744Z|Quel est le matériel informatique avec le code inventaire c…|
|582 |auto_detected             |{'response': "**Critères de recherche:** Code commençant pa…|1          |default              |False        |0          |2025-08-10T16:28:26.018Z|Quel est le matériel informatique avec le code inventaire c…|
|583 |recherche_materiel        |**Critères de recherche:** Code commençant par: ADD/INFO/, …|1          |default              |False        |0          |2025-08-10T16:29:43.077Z|Quel est le matériel informatique avec le code inventaire c…|
|584 |liste_materiel            |**Filtres appliqués:** Statut: service, Lieu: bureau tiques…|1          |default              |False        |0          |2025-08-10T16:30:07.336Z|Liste tous les matériels bureautiques non opérationnels ou …|
|585 |recherche_materiel        |**Critères de recherche:** Désignation: baie\n**Matériel in…|1          |default              |False        |0          |2025-08-10T16:30:19.154Z|Trouve les codes inventaire de baies ou armoires qui n'ont …|
|586 |recherche_materiel        |Veuillez spécifier un code inventaire, un numéro de série, …|1          |default              |False        |0          |2025-08-10T16:30:36.144Z|Quel matériel informatique a le plus haut montant unitaire …|
|587 |liste_fournisseurs        |**Liste des fournisseurs:**\n• 218 LABS SARL (ICE: 00143444…|1          |default              |False        |0          |2025-08-10T16:30:42.111Z|Calcule le montant total HT de toutes les commandes informa…|
|588 |statistiques              |**Statistiques du parc:**\n• Matériel informatique: 5 (Serv…|1          |default              |False        |0          |2025-08-10T16:30:56.488Z|xCombien de matériels informatiques sont affectés à chaque …|
|589 |statistiques              |**Statistiques du parc:**\n• Matériel informatique: 5 (Serv…|1          |default              |False        |0          |2025-08-10T16:31:48.580Z|Génère un rapport : Top 3 fournisseurs par montant total de…|
|590 |demandes_equipement       |**Demandes d'équipement:**\n• Demande #23 (02/08/2025)\nDem…|1          |default              |False        |0          |2025-08-10T16:31:55.903Z|Pour les demandes d'équipement approuvées en juillet 2025, …|
|591 |recherche_materiel        |Veuillez spécifier un code inventaire, un numéro de série, …|1          |default              |False        |0          |2025-08-10T16:31:59.923Z|Liste tous les intents exemples disponibles, et trouve ceux…|
|592 |statut_livraison          |**Statut des livraisons:**\n• Livraison 123 (Commande: 123)…|1          |default              |False        |0          |2025-08-10T16:32:04.236Z|Compare les statuts des livraisons pour les commandes avec …|
|593 |recherche_materiel        |Veuillez spécifier un code inventaire, un numéro de série, …|1          |default              |False        |0          |2025-08-10T16:32:08.351Z|À qui affecter un matériel bureautique non existant, en lis…|
|594 |recherche_materiel        |**Critères de recherche:** Désignation: baie\n**Matériel in…|1          |default              |False        |0          |2025-08-10T16:32:13.400Z|Cherche un code inventaire inexistant comme 'FAKE123', et s…|
|595 |statut_livraison          |**Statut des livraisons:**\nAucune livraison trouvée avec c…|1          |default              |False        |0          |2025-08-10T16:32:17.825Z|Quel fournisseur a le plus de spécialités différentes, et q…|
|596 |recherche_materiel        |Veuillez spécifier un code inventaire, un numéro de série, …|1          |default              |False        |0          |2025-08-10T16:32:21.045Z|Liste les utilisateurs qui ont plus d'un matériel affecté, …|
|597 |statut_livraison          |**Statut des livraisons:**\nAucune commande trouvée avec le…|1          |default              |False        |0          |2025-08-10T16:32:25.495Z|Quels fournisseurs ont fourni plus de 2 commandes informati…|
|598 |statut_livraison          |**Statut des livraisons:**\n• Livraison AOO2025 (Commande: …|1          |default              |False        |0          |2025-08-10T16:32:29.426Z|Trouve les livraisons effectives avant le 01/08/2025 qui co…|
|599 |liste_materiel            |**Filtres appliqués:** Utilisateur: affecté\n**Matériel inf…|1          |default              |False        |0          |2025-08-10T16:37:11.251Z|Liste du matériel informatique                              |
|600 |recherche_materiel        |Erreur lors de la recherche de matériel.\n*Source: base de …|1          |default              |False        |0          |2025-08-10T16:37:20.702Z|Liste les utilisateurs qui ont plus d'un matériel affecté, …|
|601 |statut_livraison          |**Statut des livraisons:**\nAucune livraison trouvée avec c…|1          |default              |False        |0          |2025-08-10T16:37:43.175Z|Quel fournisseur a le plus de spécialités différentes, et q…|
|602 |recherche_materiel        |**Critères de recherche:** Désignation: baie\n**Matériel in…|1          |default              |False        |0          |2025-08-10T16:37:54.994Z|Cherche un code inventaire inexistant comme 'FAKE123', et s…|
|603 |recherche_materiel        |Erreur lors de la recherche de matériel.\n*Source: base de …|1          |default              |False        |0          |2025-08-10T16:38:20.781Z|À qui affecter un matériel bureautique non existant, en lis…|
|604 |statut_livraison          |**Statut des livraisons:**\n• Livraison 123 (Commande: 123)…|1          |default              |False        |0          |2025-08-10T16:38:29.637Z|Compare les statuts des livraisons pour les commandes avec …|
|605 |statistiques              |**Statistiques du parc:**\n• Matériel informatique: 5 (Serv…|1          |default              |False        |0          |2025-08-10T16:38:36.870Z|Génère un rapport : Top 3 fournisseurs par montant total de…|
|606 |liste_fournisseurs        |**Liste des fournisseurs:**\n• 218 LABS SARL (ICE: 00143444…|1          |default              |False        |0          |2025-08-10T16:39:47.752Z|Liste les matériels informatiques non affectés issus de com…|
|607 |recherche_materiel        |Erreur lors de la recherche de matériel.\n*Source: base de …|1          |default              |False        |0          |2025-08-10T16:40:07.957Z|Quels fournisseurs ayant une adresse à Casablanca ont fourn…|
|608 |statut_livraison          |**Statut des livraisons:**\nAucune livraison trouvée avec c…|1          |default              |False        |0          |2025-08-10T16:40:17.578Z|Liste les livraisons retardées de plus de 7 jours par rappo…|
|609 |statut_livraison          |**Statut des livraisons:**\nAucune livraison trouvée avec c…|1          |default              |False        |0          |2025-08-10T16:40:53.745Z|Liste les livraisons retardées de plus de 7 jours par rappo…|
|610 |statut_livraison          |**Statut des livraisons:**\n• Livraison AOO2025 (Commande: …|1          |default              |False        |0          |2025-08-10T16:41:10.530Z|Quelles commandes ont des livraisons prévues dans les 15 pr…|
|611 |statut_livraison          |**Statut des livraisons:**\n• Livraison AOO2025 (Commande: …|1          |default              |False        |0          |2025-08-10T16:41:42.248Z|Trouve les livraisons effectives avant le 01/08/2025 qui co…|
|612 |statut_livraison          |**Statut des livraisons:**\nAucune commande trouvée avec le…|1          |default              |False        |0          |2025-08-10T16:41:49.286Z|Quels fournisseurs ont fourni plus de 2 commandes informati…|
|613 |help                      |Je n'ai pas bien compris votre demande.\n\n**Suggestions ba…|1          |default              |False        |0          |2025-08-10T16:41:59.115Z|les commandes informatiques                                 |
|614 |liste_commandes           |**Commandes informatiques:**\n• **Commande BC23**\n- Fourni…|1          |default              |False        |0          |2025-08-10T16:42:10.720Z|Liste des commandes                                         |
|615 |statistiques              |**Statistiques du parc:**\n• Matériel informatique: 5 (Serv…|1          |default              |False        |0          |2025-08-10T16:42:53.557Z|Génère un rapport : Top 3 fournisseurs par montant total de…|
|616 |demandes_equipement       |**Demandes d'équipement:**\n• Demande #23 (02/08/2025)\nDem…|1          |default              |False        |0          |2025-08-10T16:42:58.905Z|Pour les demandes d'équipement approuvées en juillet 2025, …|
|617 |recherche_materiel        |Erreur lors de la recherche de matériel.\n*Source: base de …|1          |default              |False        |0          |2025-08-10T16:43:07.658Z|Liste tous les intents exemples disponibles, et trouve ceux…|
|618 |statut_livraison          |**Statut des livraisons:**\n• Livraison 123 (Commande: 123)…|1          |default              |False        |0          |2025-08-10T16:43:16.884Z|Compare les statuts des livraisons pour les commandes avec …|
|619 |recherche_materiel        |Aucun matériel ne correspond à votre recherche.\n*Source: b…|1          |default              |False        |0          |2025-08-10T16:43:32.860Z|Quel est le matériel informatique avec le code inventaire c…|
|620 |liste_materiel            |**Filtres appliqués:** Statut: service, Lieu: bureau tiques…|1          |default              |False        |0          |2025-08-10T16:43:40.098Z|Liste tous les matériels bureautiques non opérationnels ou …|
|621 |recherche_materiel        |**Critères de recherche:** Désignation: baie\n**Matériel in…|1          |default              |False        |0          |2025-08-10T16:43:51.454Z|Trouve les codes inventaire de baies ou armoires qui n'ont …|
|622 |liste_fournisseurs        |**Liste des fournisseurs:**\n• 218 LABS SARL (ICE: 00143444…|1          |default              |False        |0          |2025-08-10T16:48:53.553Z|Liste les fournisseurs dont le nom contient "TECH" ou "LABS…|
|623 |liste_fournisseurs        |**Liste des fournisseurs:**\n• 218 LABS SARL (ICE: 00143444…|1          |default              |False        |0          |2025-08-10T16:49:04.042Z|Quels fournisseurs à Casablanca n’ont pas “CONSULTING” dans…|
|624 |help                      |Je n'ai pas bien compris votre demande.\n\n**Suggestions ba…|1          |default              |False        |0          |2025-08-10T16:49:13.199Z|Donne-moi la liste des désignations informatiques qui ont u…|
|625 |liste_fournisseurs        |**Liste des fournisseurs:**\n• 218 LABS SARL (ICE: 00143444…|1          |default              |False        |0          |2025-08-10T16:49:20.934Z|Quels fournisseurs ont un ICE commençant par "0015" ?       |
|626 |liste_fournisseurs        |**Liste des fournisseurs:**\nAucun fournisseur ne correspon…|1          |default              |False        |0          |2025-08-10T16:49:31.121Z|Existe-t-il un fournisseur nommé "Lenovo" ?                 |
|627 |recherche_materiel        |**Critères de recherche:** Désignation: server\n\n**Matérie…|1          |default              |False        |0          |2025-08-10T16:49:40.821Z|Quels équipements de type "Serveur" sont décrits comme "Omn…|
|628 |liste_fournisseurs        |**Liste des fournisseurs:**\n• 218 LABS SARL (ICE: 00143444…|1          |default              |False        |0          |2025-08-10T16:49:50.912Z|Quels fournisseurs à Rabat ont un IF fiscal valide et un IC…|
|629 |liste_fournisseurs        |**Liste des fournisseurs:**\n• 218 LABS SARL (ICE: 00143444…|1          |default              |False        |0          |2025-08-10T16:49:58.275Z|Donne-moi les 5 premiers fournisseurs par ordre alphabétiqu…|
|630 |liste_fournisseurs        |**Liste des fournisseurs:**\nAucun fournisseur ne correspon…|1          |default              |False        |0          |2025-08-10T16:50:08.847Z|Y a-t-il un fournisseur dont le nom correspond exactement à…|
|631 |help                      |Je n'ai pas bien compris votre demande.\n\n**Suggestions ba…|1          |default              |False        |0          |2025-08-10T16:50:27.785Z|Expected:  LE GRAND PRESTIGE, MAITRE PRESTIGE NET, UNIMARKE…|
|632 |liste_fournisseurs        |**Liste des fournisseurs:**\n• 218 LABS SARL (ICE: 00143444…|1          |default              |False        |0          |2025-08-10T16:51:29.527Z|Trouve-moi tous les fournisseurs dont le nom contient "PRES…|
|633 |liste_materiel            |**Filtres appliqués:** Utilisateur: affecté\n**Matériel inf…|1          |default              |False        |0          |2025-08-10T17:03:13.845Z|Liste du matériel informatique                              |
|634 |liste_fournisseurs        |**Liste des fournisseurs:**\n• 218 LABS SARL (ICE: 00143444…|1          |default              |False        |0          |2025-08-10T17:03:26.270Z|Quels fournisseurs ont un ICE commençant par "0015" ?       |
|635 |help                      |Je n'ai pas bien compris votre demande.\n\n**Suggestions ba…|1          |default              |False        |0          |2025-08-10T17:03:34.166Z|Donne-moi la liste des désignations informatiques qui ont u…|
|636 |liste_fournisseurs        |**Liste des fournisseurs:**\nAucun fournisseur ne correspon…|1          |default              |False        |0          |2025-08-10T17:03:40.579Z|Existe-t-il un fournisseur nommé "Lenovo" ?                 |
|637 |recherche_materiel        |**Critères de recherche:** Désignation: server\n\n**Matérie…|1          |default              |False        |0          |2025-08-10T17:03:47.346Z|Quels équipements de type "Serveur" sont décrits comme "Omn…|
|638 |liste_fournisseurs        |**Liste des fournisseurs:**\n• 218 LABS SARL (ICE: 00143444…|1          |default              |False        |0          |2025-08-10T17:03:56.612Z|Quels fournisseurs à Rabat ont un IF fiscal valide et un IC…|
|639 |liste_fournisseurs        |**Liste des fournisseurs:**\n• 218 LABS SARL (ICE: 00143444…|1          |default              |False        |0          |2025-08-10T17:04:08.192Z|Donne-moi les 5 premiers fournisseurs par ordre alphabétiqu…|
|640 |liste_fournisseurs        |**Liste des fournisseurs:**\n• 218 LABS SARL (ICE: 00143444…|1          |default              |False        |0          |2025-08-10T17:04:16.112Z|Trouve-moi tous les fournisseurs dont le nom contient "PRES…|
|641 |liste_fournisseurs        |**Liste des fournisseurs:**\nAucun fournisseur ne correspon…|1          |default              |False        |0          |2025-08-10T17:04:25.799Z|Y a-t-il un fournisseur dont le nom correspond exactement à…|
